tgl,beli,jual,tengah,spread,mata_uang
2026-09-02,17638.37,17815.63,17727.0,177.26,USD  
2026-09-03,17681.15,17858.85,17770.0,177.7,USD  
2026-09-04,17600.56,17777.44,17689.0,176.88,USD  
2026-09-07,17547.82,17724.18,17636.0,176.36,USD  
2026-09-08,17564.74,17741.26,17653.0,176.52,USD  
2026-09-09,17529.91,17706.09,17618.0,176.18,USD  
2026-09-10,17464.24,17639.76,17552.0,175.52,USD  
2026-09-11,17448.32,17623.68,17536.0,175.36,USD  
2026-09-14,17522.94,17699.06,17611.0,176.12,USD  
2026-09-15,17546.83,17723.17,17635.0,176.34,USD  
2026-09-16,17598.56,17775.44,17687.0,176.88,USD  
2026-09-17,17623.44,17800.56,17712.0,177.12,USD  
2026-09-18,17664.24,17841.76,17753.0,177.52,USD  
2026-09-21,17656.28,17833.72,17745.0,177.44,USD  
